,relationship,first_name,second_name,co_bills,co_bills_status,co_bills_total
24807,Bilal AliNick Mosby,Bilal Ali,Nick Mosby,"[1071267, 1071381, 1071341, 1071282, 1071368, 1071402, 1071289, 1071355, 1071321, 1071336, 1071271, 1071299, 1071277, 1072321, 1072331, 1072318, 1072359, 1073069, 1073081, 1077121, 1077157, 1077134, 1077091, 1077037, 1077123, 1077130, 1077039, 1080818, 1085007, 1085046]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 4, 1, 1]",30
15656,Richard MadalenoSusan Lee,Richard Madaleno,Susan Lee,"[1053142, 1059464, 1066901, 1068450, 1071300, 1071385, 1072345, 1073039, 1073932, 1075217, 1075288, 1075265, 1077115, 1077021, 1077065, 1080871, 1080860, 1080825, 1080738, 1080749, 1080815, 1080843, 1080887, 1081820, 1081673, 1081645, 1086689]","[1, 4, 1, 4, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 4, 5, 5, 5, 4, 1, 4, 4, 1, 1, 4, 1, 1]",27
12173,Delores KelleyShirley Nathan-Pulliam,Delores Kelley,Shirley Nathan-Pulliam,"[1058992, 1059008, 1059009, 1058986, 1062483, 1065089, 1065059, 1065080, 1066859, 1069905, 1069802, 1069870, 1071265, 1071313, 1072353, 1073075, 1073089, 1073051, 1073942, 1075275, 1077100, 1077153, 1078889, 1080792, 1080884, 1080747]","[4, 1, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 1, 1, 4]",26
21209,Nicholaus KipkeThe Speaker,Nicholaus Kipke,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1083108, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 1, 4]",25
10155,Barbara RobinsonJoan Conway,Barbara Robinson,Joan Conway,"[1058099, 1065100, 1065032, 1066911, 1069793, 1069892, 1071340, 1071365, 1071399, 1071276, 1071306, 1073082, 1073087, 1075322, 1075292, 1077042, 1077095, 1080782, 1081706, 1081643, 1086692, 1086691, 1088088, 1090865, 1090853]","[5, 1, 4, 4, 4, 1, 2, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 4, 4, 1]",25
21278,Ric MetzgarThe Speaker,Ric Metzgar,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",24
21208,Chris WestThe Speaker,Chris West,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",24
6069,Katherine KlausmeierThomas Middleton,Katherine Klausmeier,Thomas Middleton,"[1059465, 1068457, 1069903, 1071343, 1072351, 1073098, 1073085, 1073967, 1075268, 1075306, 1077097, 1077057, 1077030, 1078942, 1078895, 1078981, 1080788, 1080875, 1081688, 1089440, 1092908, 1095737, 1105449, 1106046]","[4, 2, 4, 2, 4, 1, 4, 2, 4, 4, 2, 4, 4, 1, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4]",24
21281,Christian MieleThe Speaker,Christian Miele,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",24
16781,Susan KrebsThe Speaker,Susan Krebs,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",23
16940,Andrew SerafiniThe President,Andrew Serafini,The President,"[1061035, 1061062, 1061045, 1068432, 1068461, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858, 1081787]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 4]",23
15625,Brian FeldmanRichard Madaleno,Brian Feldman,Richard Madaleno,"[1036418, 1066878, 1068450, 1069792, 1071320, 1071332, 1073059, 1073039, 1075217, 1077063, 1077115, 1077021, 1077162, 1080882, 1080860, 1080825, 1080738, 1080815, 1080843, 1080887, 1080888, 1081746, 1081609]","[4, 4, 4, 2, 1, 1, 1, 4, 1, 5, 4, 4, 4, 1, 5, 5, 4, 4, 4, 1, 4, 1, 1]",23
