,names,party,district,role,people_id,committee_sponsor,all_sponsored_bills_count,unspecified_sponsored_bills_count,primary_sponsored_bills_count,co_sponsored_bills_count,joint_sponsored_bills_count,all_sponsored_bills,unspecified_sponsored_bills,primary_sponsored_bills,co_sponsored_bills,joint_sponsored_bills,all_sponsored_bills_status,unspecified_sponsored_bills_status,primary_sponsored_bills_status,co_sponsored_bills_status,joint_sponsored_bills_status,all_sponsored_bills_passed,unspecified_sponsored_bills_passed,primary_sponsored_bills_passed,co_sponsored_bills_passed,joint_sponsored_bills_passed,all_sponsored_bills_avg,unspecified_sponsored_bills_avg,primary_sponsored_bills_avg,co_sponsored_bills_avg,joint_sponsored_bills_avg
0,Southern Maryland Delegation,No Party,No District,Rep,16216,1,1,0,1,0,0,[1084063],[],[1084063],[],[],[4],[],[4],[],[],1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
1,Jeff Ghrist,R,HD-036,Rep,17399,0,84,0,2,82,0,"[1036197, 1058110, 1058102, 1058079, 1061075, 1062537, 1065085, 1065040, 1066841, 1066857, 1066870, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1071375, 1072379, 1073035, 1073025, 1073134, 1073963, 1075304, 1077017, 1077082, 1077148, 1077010, 1078953, 1080803, 1081736, 1083061, 1083097, 1084009, 1083985, 1084085, 1084015, 1084053, 1083968, 1084027, 1084067, 1084039, 1085167, 1085183, 1085234, 1085083, 1085182, 1084894, 1085057, 1084933, 1085107, 1085082, 1085159, 1085029, 1084887, 1085089, 1085102, 1085186, 1085075, 1085111, 1085202, 1085044, 1085204, 1085079, 1084890, 1084871, 1085194, 1085258, 1084932, 1085078, 1085129, 1085169, 1085240]",[],"[1072379, 1085057]","[1036197, 1058110, 1058102, 1058079, 1061075, 1062537, 1065085, 1065040, 1066841, 1066857, 1066870, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1071375, 1073035, 1073025, 1073134, 1073963, 1075304, 1077017, 1077082, 1077148, 1077010, 1078953, 1080803, 1081736, 1083061, 1083097, 1084009, 1083985, 1084085, 1084015, 1084053, 1083968, 1084027, 1084067, 1084039, 1085167, 1085183, 1085234, 1085083, 1085182, 1084894, 1084933, 1085107, 1085082, 1085159, 1085029, 1084887, 1085089, 1085102, 1085186, 1085075, 1085111, 1085202, 1085044, 1085204, 1085079, 1084890, 1084871, 1085194, 1085258, 1084932, 1085078, 1085129, 1085169, 1085240]",[],"[4, 1, 1, 1, 1, 4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 1, 2, 4, 4, 1, 1, 4, 4, 2, 1, 1, 1, 4, 4, 4, 4, 2, 4, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],"[4, 4]","[4, 1, 1, 1, 1, 4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 2, 4, 4, 1, 1, 4, 4, 2, 1, 1, 1, 4, 4, 4, 4, 2, 4, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],21,0,2,19,0,0.25,0.0,1.0,0.23170731707317074,0.0
2,Dorchester County Delegation,No Party,No District,Rep,15485,1,3,0,3,0,0,"[1066890, 1066863, 1066913]",[],"[1066890, 1066863, 1066913]",[],[],"[4, 4, 4]",[],"[4, 4, 4]",[],[],3,0,3,0,0,1.0,0.0,1.0,0.0,0.0
3,Caroline County Delegation,No Party,No District,Rep,15482,1,2,0,2,0,0,"[1072382, 1085095]",[],"[1072382, 1085095]",[],[],"[4, 4]",[],"[4, 4]",[],[],2,0,2,0,0,1.0,0.0,1.0,0.0,0.0
4,Ways and Means,No Party,No District,Rep,15490,1,3,0,2,1,0,"[1058108, 1058089, 1062511]",[],"[1058108, 1058089]",[1062511],[],"[4, 4, 4]",[],"[4, 4]",[4],[],3,0,2,1,0,1.0,0.0,1.0,1.0,0.0
5,"Education, Health, and Environmental Affairs",No Party,No District,Sen,15414,1,15,0,15,0,0,"[1036378, 1036395, 1036485, 1036495, 1036471, 1036423, 1036507, 1036509, 1036484, 1036369, 1036511, 1036466, 1036421, 1036446, 1075257]",[],"[1036378, 1036395, 1036485, 1036495, 1036471, 1036423, 1036507, 1036509, 1036484, 1036369, 1036511, 1036466, 1036421, 1036446, 1075257]",[],[],"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",[],"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",[],[],15,0,15,0,0,1.0,0.0,1.0,0.0,0.0
6,Calvert County Senators,No Party,No District,Sen,15737,1,1,0,1,0,0,[1081848],[],[1081848],[],[],[4],[],[4],[],[],1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
7,Caroline County Senators,No Party,No District,Sen,17891,1,3,0,3,0,0,"[1071342, 1085198, 1101447]",[],"[1071342, 1085198, 1101447]",[],[],"[4, 4, 4]",[],"[4, 4, 4]",[],[],3,0,3,0,0,1.0,0.0,1.0,0.0,0.0
8,Meagan Simonaire,R,HD-031B,Rep,17404,0,52,0,1,51,0,"[1036197, 1058085, 1062551, 1062490, 1065090, 1066897, 1066871, 1066915, 1066900, 1066895, 1072367, 1073035, 1073142, 1073080, 1075229, 1075308, 1075252, 1075262, 1077017, 1080709, 1080793, 1080721, 1080719, 1080725, 1080750, 1080785, 1081665, 1081736, 1083061, 1083121, 1083994, 1084035, 1084057, 1084969, 1085083, 1085182, 1084894, 1085207, 1085159, 1084889, 1085084, 1085232, 1085111, 1084943, 1085115, 1085044, 1085258, 1085252, 1084998, 1084980, 1085122, 1088108]",[],[1062490],"[1036197, 1058085, 1062551, 1065090, 1066897, 1066871, 1066915, 1066900, 1066895, 1072367, 1073035, 1073142, 1073080, 1075229, 1075308, 1075252, 1075262, 1077017, 1080709, 1080793, 1080721, 1080719, 1080725, 1080750, 1080785, 1081665, 1081736, 1083061, 1083121, 1083994, 1084035, 1084057, 1084969, 1085083, 1085182, 1084894, 1085207, 1085159, 1084889, 1085084, 1085232, 1085111, 1084943, 1085115, 1085044, 1085258, 1085252, 1084998, 1084980, 1085122, 1088108]",[],"[4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 5, 4, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 2, 4, 4, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 4, 2, 4, 2, 4, 4, 1, 1, 4, 1, 2, 1, 4, 1, 1]",[],[4],"[4, 4, 4, 4, 4, 4, 4, 1, 4, 5, 4, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 2, 4, 4, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 4, 2, 4, 2, 4, 4, 1, 1, 4, 1, 2, 1, 4, 1, 1]",[],23,0,1,22,0,0.4423076923076923,0.0,1.0,0.43137254901960786,0.0
9,Baltimore County Delegation,No Party,No District,Rep,15728,1,11,0,11,0,0,"[1053145, 1053140, 1058097, 1066866, 1068426, 1084954, 1085130, 1084912, 1085003, 1085201, 1084839]",[],"[1053145, 1053140, 1058097, 1066866, 1068426, 1084954, 1085130, 1084912, 1085003, 1085201, 1084839]",[],[],"[4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4]",[],"[4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4]",[],[],10,0,10,0,0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.0
