,relationship,first_name,second_name,co_bills,co_bills_status,co_bills_total
25709,Susan LeeWilliam Smith,Susan Lee,William Smith,"[1162064, 1164670, 1164690, 1164746, 1168029, 1175010, 1177768, 1180389, 1180322, 1180329, 1180298, 1182344, 1182290, 1184994, 1184933, 1188986, 1188962, 1188644, 1188923, 1188979, 1188629, 1188939, 1188708, 1188757, 1188697, 1188638, 1188680, 1188821, 1188602, 1188842, 1198196]","[3, 3, 3, 1, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 1, 3, 3, 3, 2, 3, 1, 1, 1, 1]",31
11692,Kathy SzeligaMichael Busch,Kathy Szeliga,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1188814, 1194036, 1194034, 1243029]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3]",25
25292,Chris WestThomas Miller,Chris West,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164742, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",24
25287,Jason GallionThomas Miller,Jason Gallion,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1162264, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 3, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",24
9430,Michael BuschNicholaus Kipke,Michael Busch,Nicholaus Kipke,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1188814, 1188713, 1243029]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3]",24
11185,Michael BuschRic Metzgar,Michael Busch,Ric Metzgar,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167423, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1188814, 1243029]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3]",24
24304,Adelaide EckardtThomas Miller,Adelaide Eckardt,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164742, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",24
25285,Mary CarozzaThomas Miller,Mary Carozza,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164742, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",24
25284,Jack BaileyThomas Miller,Jack Bailey,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164634, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1188674, 1196639, 1196860, 1208187]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1]",24
12354,Brian ChisholmMichael Busch,Brian Chisholm,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170465, 1170151, 1188814, 1194036, 1194034, 1243029]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3]",24
24191,J.B. JenningsThomas Miller,J.B. Jennings,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164634, 1164742, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",23
24359,George EdwardsThomas Miller,George Edwards,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",23
12679,Michael BuschSid Saab,Michael Busch,Sid Saab,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1188814, 1243029]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3]",23
25289,Michael HoughThomas Miller,Michael Hough,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",23
